,reviews,Cleaned Reviews,Score,Sentiment
0,"   BA has a real problem with boarding it's flights. Those who get on first fill the luggage bins with 2 bags, one of which is supposed to be small and under seat only. Cabin staff don't bother implementing their own rules. Subsequent passengers mill up and down the aisle, bumping into each other, searching for space. Boarding this flight took an hour as a result of this nonsense. The incoming flight was late already so our 90 minute flight was 90 minutes late.",ba real problem boarding flight get first fill luggage bin bag one supposed small seat cabin staff bother implementing rule subsequent passenger mill aisle bumping searching space boarding flight took hour result nonsense incoming flight late already minute flight minute late,-0.7783,Negative
1, Our connecting flight from London to Glasgow was canceled and we were forced to wait 12 hours in the airport for a new flight. When we received our luggage at Glasgow we discovered that our luggage was soaking wet. My wife’s luggage contents were wet and had to be air dried.,connecting flight london glasgow canceled forced wait hour airport new flight received luggage glasgow discovered luggage soaking wet wife luggage content wet air dried,-0.4588,Negative
2,"   The worst airline I have ever flown with. Allocated the very back row next to the toilets and galley. No chance of getting any sleep, question asked of possible seat movement ignored and getting bumped the entire time by cabin crew walking or pushing kart up and down aisle without one apology. Would have been better sitting in the luggage compartment.",worst airline ever flown allocated back row next toilet galley chance getting sleep question asked possible seat movement ignored getting bumped entire time cabin crew walking pushing kart aisle without one apology would better sitting luggage compartment,-0.3915,Negative
3,"   Excellent service levels, proactive crew and superb food and beverages. I found all aspects of the service to be superior to BA business class, even the new BA Club Suites. First Class felt exclusive, the dedicated crew were clearly used to working the premium cabin, enjoying their work, were proactive, friendly, very respectful and the food and beverage offering a considerable step up from business class. The seat, with sliding double doors was spacious, well designed and very comfortable.  British Airways offered a solid First Class service, from Concorde Lounge to boarding (which was actually by group number for a change) to the very warm and genuine welcome on boarding. A consistent, solid, comfortable service from start to finish and if the price was right, I would not hesitate to book First Class with British Airways again.",excellent service level proactive crew superb food beverage found aspect service superior ba business class even new ba club suite first class felt exclusive dedicated crew clearly used working premium cabin enjoying work proactive friendly respectful food beverage offering considerable step business class seat sliding double door spacious well designed comfortable british airway offered solid first class service concorde lounge boarding actually group number change warm genuine welcome boarding consistent solid comfortable service start finish price right would hesitate book first class british airway,0.9926,Positive
4,"  Booked a very special holiday for me and my partner, September arrived and we were on our way to lovely South of France, Booked Business Class for us both to start the holiday right. As we were checking I was told the flight was over booked and our seats wouldn't print onto the ticket for some reason. We had already made sure the seats were booked when we had booked the flights nearly a year prior to going. Unfortunately when we arrived at the gate we were then told we would no longer be sat together and one of us would in fact have to go into economy. My girlfriend is an extremely nervous flyer and so had to take extra tablets to remain calm, She didn't have any food which we had pre booked also and she was sat right down the bottom end of the flight. We were held at the gate with another 4 or 5 couples all in the same predicament all due to the lovely money grabbing British Airways over booking the flight. They ended up refusing passengers in the end and even had people sat on the fold down chairs in the toilet area. When we eventually arrived in France late, we was waiting for our luggage to come. Our airtags stated that both our cases was in fact still in Heathrow. We then had to wait 4 days for them to eventually come into France by this point our holiday was ruined. British Airways was absolutely shocking, we couldn't speak to anyone as all the phone numbers were no longer in use. We felt stranded in a foreign country with no clothes and no one to help use with what to do next. Every day we watched them case not moved as we were tracking with air tags. it was so frustrating not being able to plan our days in hope we would get the call to then drive all the way back to the air port 2 hours each way to collect our cases. we ended up going out and buying new clothes toiletries and all the stuff to make the best of our ruined holiday, saving all the receipts thinking we would be able to claim it all back. how wrong I was. British airways take zero responsibility and fob me off with going through my insurance. British Airways only pay for basic essentials, Pants and toothpaste. I filed a complaint when I got back and requested my money back for business class and they haven't even had the decency to even respond. They are an absolute joke of a company and I wish they would remove British out of there name because there is nothing British about them. Do not give them your money, they cant even look after their staff let alone customers. Oh and don't bother trying to cancel your flight either as they just take all of your money off you and give you nothing back.",booked special holiday partner september arrived way lovely south france booked business class u start holiday right checking told flight booked seat print onto ticket reason already made sure seat booked booked flight nearly year prior going unfortunately arrived gate told would longer sat together one u would fact go economy girlfriend extremely nervous flyer take extra tablet remain calm food pre booked also sat right bottom end flight held gate another couple predicament due lovely money grabbing british airway booking flight ended refusing passenger end even people sat fold chair toilet area eventually arrived france late waiting luggage come airtags stated case fact still heathrow wait day eventually come france point holiday ruined british airway absolutely shocking speak anyone phone number longer use felt stranded foreign country clothes one help use next every day watched case moved tracking air tag frustrating able plan day hope would get call drive way back air port hour way collect case ended going buying new clothes toiletry stuff make best ruined holiday saving receipt thinking would able claim back wrong british airway take zero responsibility fob going insurance british airway pay basic essential pant toothpaste filed complaint got back requested money back business class even decency even respond absolute joke company wish would remove british name nothing british give money cant even look staff let alone customer oh bother trying cancel flight either take money give nothing back,0.8754,Positive
5," Just returned from Chicago, flew out 10 days ago on American Airlines absolutely superb in every way, had high expectations on return flight with BA. What a disappointment. The Airbus A380 may be nice from a pilots perspective but as a passenger it was awful. Very uncomfortable seats, the inflight entertainment and flight tracker failed to work throughout the flight, the inflight meal was inedible and the service was mediocre at best. Our short flight from Heathrow to Manchester was much improved, very welcoming and attentive in flight staff and the flight even arrived early. In future we will travel with one of the American carriers. ",returned chicago flew day ago american airline absolutely superb every way high expectation return flight ba disappointment airbus may nice pilot perspective passenger awful uncomfortable seat inflight entertainment flight tracker failed work throughout flight inflight meal inedible service mediocre best short flight heathrow manchester much improved welcoming attentive flight staff flight even arrived early future travel one american carrier,0.8399,Positive
6,"  BA standards continue to decline every time I fly with them. This time, a 45 min late departure, which seems the norm for BA, and no information from the rude and clueless boarding gate staff. The Club lounge was overcrowded, dirty and grubby and cleaning staff could not cope. How many more cutbacks is BA going to apply before they become truly low cost. As a 35 year veteran user of BA, while people complained of Alex Cruz cutting costs, the past 3 years has seen them decline very quickly under their latest CEO. One reads the occasional article about BA improving things, but I have yet to see anything substantive. There seem to be few British staff left amongst the cabin crew, so maybe time for a name change and give the flag carrier status to a proper low-cost - and sadly the staff service has declined year on year. Onboard, the catering remains poor and surprised that Do&Co can produce such rubbish meals when I have sampled their Turkish Airlines equivalent in August that was superb - guessing BA are too tight with their budget. Onboard WiFi service is a joke and should be avoided.",ba standard continue decline every time fly time min late departure seems norm ba information rude clueless boarding gate staff club lounge overcrowded dirty grubby cleaning staff could cope many cutback ba going apply become truly low cost year veteran user ba people complained alex cruz cutting cost past year seen decline quickly latest ceo one read occasional article ba improving thing yet see anything substantive seem british staff left amongst cabin crew maybe time name change give flag carrier status proper low cost sadly staff service declined year year onboard catering remains poor surprised co produce rubbish meal sampled turkish airline equivalent august superb guessing ba tight budget onboard wifi service joke avoided,-0.8578,Negative
7,"  Awful. Business class check in queue just as long as for economy, probably because half of the desks were not staffed and Terminal 5 is chaotic. Business lounge overfull, couldn't get seats. Delayed flight, unmanaged chaos at the gate. No drink on boarding, first drink served an hour after take-off. The meal was poor, used to get better in economy on other airlines. British Airways has won the race to the bottom of the cheapskate stakes. Not looking forward to the flight home.",awful business class check queue long economy probably half desk staffed terminal chaotic business lounge overfull get seat delayed flight unmanaged chaos gate drink boarding first drink served hour take meal poor used get better economy airline british airway race bottom cheapskate stake looking forward flight home,-0.9001,Negative
8,"  Not a reliable airline. You cannot trust the timing at all. I had a 6.45am flight, boarding was on time, but then we are sitting in the plane for already (1.5 hours) and the expected departure is still not clear. They have discovered the engine is not working! I am risking to be late for a business meeting in Geneva. How come they bring a not working plane to the gate. The funny thing is that I had another business trip in spring 2023, also with BA to Amsterdam. When I arrived to the Airport that time - I was told I don't have a seat. I was put on the next flight in several hours, which should have get me to the business meeting late, but still not too much. A lot of stress. In the end, on the second plane we were sitting in the cabin for 1.5 hours and I have missed the meeting. I thought it was a dramatic unlucky case that time, but today I see it's routine for BA not to fly on time.",reliable airline trust timing flight boarding time sitting plane already hour expected departure still clear discovered engine working risking late business meeting geneva come bring working plane gate funny thing another business trip spring also ba amsterdam arrived airport time told seat put next flight several hour get business meeting late still much lot stress end second plane sitting cabin hour missed meeting thought dramatic unlucky case time today see routine ba fly time,0.3612,Neutral
9,"  I take comfort in reading the last ten or so reviews to see I'm not the only traveller to put in words, how absolutely abysmal British Airways are! The only reason we are stuck using this awful airline is to use up points. We booked Club Europe months ago. London to Athens, sat in row 3 and told they had run out of food options, only choice was lentil pie or green curry. Returning Athens to London Club Europe. Couldn't check in online as promised so arrived at the airport 3hrs early. To be told they had overbooked the flight and basically we were being 'bumped' to economy. This airline fails to deliver time and time again. It is a national disgrace and I implore everyone to choose an alternative. ",take comfort reading last ten review see traveller put word absolutely abysmal british airway reason stuck using awful airline use point booked club europe month ago london athens sat row told run food option choice lentil pie green curry returning athens london club europe check online promised arrived airport hr early told overbooked flight basically bumped economy airline fails deliver time time national disgrace implore everyone choose alternative,-0.7184,Negative
10,"  The worst journey in my life. The connection time at LHR was only 1 hour, but the flight from MXP was on delay. I had to rush to change terminal by train and arrived risking a heart attack. After that the plane just stayed there for another 40 minutes. Despite that, upon arrival at SJC my baggage was lost. I filled the form and gave to the employee. I was not given any receipt, so I did not have any reference number. BA phone number at SJC simply never answer. I called twice the toll free number and realized they did not record the delivery address. I had to enter myself online, dealing with a shitty website. They delivered the baggage three days later. I claimed for compensation online, as I had to buy clothes and other stuff and I did never get a receipt. I was expecting an upgrade for the flight back to MXP, but nothing happened, neither they allowed me to enter BA lounge at SJC. Bad customer service. The only positive side was price, but obviously this cannot justify this treatment and if I knew , I would never flown by BA. Never again!",worst journey life connection time lhr hour flight mxp delay rush change terminal train arrived risking heart attack plane stayed another minute despite upon arrival sjc baggage lost filled form gave employee given receipt reference number ba phone number sjc simply never answer called twice toll free number realized record delivery address enter online dealing shitty website delivered baggage three day later claimed compensation online buy clothes stuff never get receipt expecting upgrade flight back mxp nothing happened neither allowed enter ba lounge sjc bad customer service positive side price obviously justify treatment knew would never flown ba never,-0.802,Negative
11," The airplanes and the lounges are worn out, old and broken. From Dallas to Heathrow, multiple first class seating and electronics were non functional and poorly designed. The first class seating from Heathrow to Dubrovnik was nothing more than a tray blocking the middle seat of a standard coach ticket. Very disappointed.",airplane lounge worn old broken dallas heathrow multiple first class seating electronics non functional poorly designed first class seating heathrow dubrovnik nothing tray blocking middle seat standard coach ticket disappointed,-0.7364,Negative
12," One of the worst experiences on the worst airline. The flight was delayed due to earlier technical issues. The time slipped from 17:00 to 20:00 to 22:00 and finally cancelled. There was zero information given. Despite paying well over the odds for business class, we were booted out of the BA lounge two hours before the flight. When it was finally cancelled, the BA staff. Without explanation, told everyone to go to a gate. After another hour or so they made us re enter the UK via passport control, a further 40 minute wait. By now the airport was closing and there was no sign of our bags or any help from BA. A passing Gatwick engineer finally helped us locate the bags. BA completely washed their hands of us and in contravention of CAA rules refused to find us accommodation. Many slept in a bus stop overnight. There were people with young children who couldn’t find somewhere to stay and yet BA had closed down and left. The following day the replacement flight was also late and due to an admin mistake had no catering or liquids for a 2 1/2 hr flight. Overall the service was shockingly bad, the worst I have experienced from any airline. I will not ever use them again.",one worst experience worst airline flight delayed due earlier technical issue time slipped finally cancelled zero information given despite paying well odds business class booted ba lounge two hour flight finally cancelled ba staff without explanation told everyone go gate another hour made u enter uk via passport control minute wait airport closing sign bag help ba passing gatwick engineer finally helped u locate bag ba completely washed hand u contravention caa rule refused find u accommodation many slept bus stop overnight people young child find somewhere stay yet ba closed left following day replacement flight also late due admin mistake catering liquid hr flight overall service shockingly bad worst experienced airline ever use,-0.9667,Negative
